Ref,Val,Package,PosX,PosY,Rot,Side
"SW1","SW_Push","Kailh_socket_PG1350",82.874961,-23.374989,180.000000,top
"SW2","SW_Push","Kailh_socket_PG1350",99.874953,-23.374989,0.000000,top
"SW3","SW_Push","Kailh_socket_PG1350",116.874945,-23.374989,0.000000,top
"SW4","SW_Push","Kailh_socket_PG1350",133.874937,-23.374989,0.000000,top
"SW11","SW_Push","Kailh_socket_PG1350",82.874961,-40.374981,180.000000,top
"SW12","SW_Push","Kailh_socket_PG1350",99.874953,-40.374981,0.000000,top
"SW13","SW_Push","Kailh_socket_PG1350",116.874945,-40.374981,0.000000,top
"SW14","SW_Push","Kailh_socket_PG1350",133.874937,-40.374981,0.000000,top
"SW21","SW_Push","Kailh_socket_PG1350",82.874961,-57.374973,180.000000,top
"SW22","SW_Push","Kailh_socket_PG1350",99.874953,-57.374973,0.000000,top
"SW23","SW_Push","Kailh_socket_PG1350",116.874945,-57.374973,0.000000,top
"SW24","SW_Push","Kailh_socket_PG1350",133.874937,-57.374973,0.000000,top
"SW31","SW_Push","Kailh_socket_PG1350",82.874961,-74.374965,180.000000,top
"SW32","SW_Push","Kailh_socket_PG1350",99.874953,-74.374965,0.000000,top
"SW33","SW_Push","Kailh_socket_PG1350",116.874945,-74.374965,0.000000,top
"SW34","SW_Push","Kailh_socket_PG1350",133.874937,-74.374965,0.000000,top
