Designator,Mid X,Mid Y,Rotation,Layer
B1,-133.840000,-35.670000,180.000000,bottom
C1,-120.250000,-39.500000,180.000000,bottom
C2,-120.000000,-34.000000,0.000000,bottom
C3,-117.480000,-32.320000,-45.000000,bottom
C4,-117.000000,-36.200000,45.000000,bottom
C5,-105.500000,-32.750000,135.000000,bottom
C6,-109.311615,-40.374981,0.000000,bottom
C7,-109.350000,-29.875000,-135.000000,bottom
D1,-88.541625,-28.333320,-90.000000,bottom
D2,-105.541617,-28.333320,-90.000000,bottom
D3,-122.541609,-28.333320,-90.000000,bottom
D4,-139.541601,-28.333320,-90.000000,bottom
D5,-156.541593,-28.333320,-90.000000,bottom
D6,-173.541585,-28.333320,-90.000000,bottom
D7,-190.541577,-28.333320,-90.000000,bottom
D8,-207.541569,-28.333320,-90.000000,bottom
D9,-224.541561,-28.333320,-90.000000,bottom
D10,-241.541553,-28.333320,-90.000000,bottom
D11,-88.541625,-45.333312,-90.000000,bottom
D12,-105.541617,-45.333312,-90.000000,bottom
D13,-122.541609,-45.333312,-90.000000,bottom
D14,-139.541601,-45.333312,-90.000000,bottom
D15,-156.541593,-45.333312,-90.000000,bottom
D16,-173.541585,-45.333312,-90.000000,bottom
D17,-190.541577,-45.333312,-90.000000,bottom
D18,-207.541569,-45.333312,-90.000000,bottom
D19,-224.541561,-45.333312,-90.000000,bottom
D20,-241.541553,-45.333312,-90.000000,bottom
D21,-88.541625,-62.333304,-90.000000,bottom
D22,-105.541617,-62.333304,-90.000000,bottom
D23,-122.541609,-62.333304,-90.000000,bottom
D24,-139.541601,-62.333304,-90.000000,bottom
D25,-156.541593,-62.333304,-90.000000,bottom
D26,-173.541585,-62.333304,-90.000000,bottom
D27,-190.541577,-62.333304,-90.000000,bottom
D28,-207.541569,-62.333304,-90.000000,bottom
D29,-224.541561,-62.333304,-90.000000,bottom
D30,-241.541553,-62.333304,-90.000000,bottom
D31,-88.541625,-79.333296,-90.000000,bottom
D32,-105.541617,-79.333296,-90.000000,bottom
D33,-122.541609,-79.333296,-90.000000,bottom
D34,-139.541601,-79.333296,-90.000000,bottom
D35,-156.541593,-79.333296,-90.000000,bottom
D36,-173.541585,-79.333296,-90.000000,bottom
D37,-190.541577,-79.333296,-90.000000,bottom
D38,-207.541569,-79.333296,-90.000000,bottom
D39,-224.541561,-79.333296,-90.000000,bottom
D40,-241.541553,-79.333296,-90.000000,bottom
F1,-103.000000,-24.000000,-90.000000,bottom
J1,-111.208281,-16.999992,0.000000,bottom
R1,-128.950000,-35.610000,-90.000000,bottom
R2,-107.750000,-22.990000,-90.000000,bottom
R3,-117.500000,-21.000000,0.000000,bottom
R4,-114.250000,-23.750000,-90.000000,bottom
R5,-113.000000,-23.750000,-90.000000,bottom
R6,-104.250000,-35.000000,180.000000,bottom
U1,-111.208281,-34.708317,-135.000000,bottom
Y1,-119.750000,-36.750000,90.000000,bottom
