Designator,Footprint,Comment,JLCPCB Part #
"D35,D31,D30,D34,D11,D8,D22,D24,D27,D4,D40,D29,D28,D33,D15,D9,D21,D32,D19,D10,D14,D6,D18,D16,D13,D25,D26,D1,D3,D7,D23,D17,D12,D5,D37,D36,D39,D20,D38,D2",D_SOD-323,1N4148WS,C437156
"C5,C4,C6",C_0402_1005Metric,0.1uF,C129131
"R4,R5",R_0402_1005Metric,22,C114765
U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,ATmega32U4-MU,C112161
"C2,C1",C_0402_1005Metric,22pF,C106203
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,16MHz,C13738
C7,C_0402_1005Metric,10uF,C15525
"R6,R1",R_0402_1005Metric,10k,C144807
B1,SW_SPST_SKQG_WithoutStem,SW_Push,C127478
"R3,R2",R_0402_1005Metric,5k1,C105873
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,USB_C_Receptacle_USB2.0,C319148
F1,Fuse_1206_3216Metric,500mA,C163512
C3,C_0402_1005Metric,1uF,C14445
