Ref,Val,Package,PosX,PosY,Rot,Side
"B1","SW_Push","SW_SPST_SKQG_WithoutStem",-133.840000,-35.670000,180.000000,bottom
"C1","22pF","C_0402_1005Metric",-120.250000,-39.500000,180.000000,bottom
"C2","22pF","C_0402_1005Metric",-120.000000,-34.000000,0.000000,bottom
"C3","1uF","C_0402_1005Metric",-117.480000,-32.320000,-45.000000,bottom
"C4","0.1uF","C_0402_1005Metric",-117.000000,-36.200000,45.000000,bottom
"C5","0.1uF","C_0402_1005Metric",-105.500000,-32.750000,135.000000,bottom
"C6","0.1uF","C_0402_1005Metric",-109.311615,-40.374981,0.000000,bottom
"C7","10uF","C_0402_1005Metric",-109.350000,-29.875000,-135.000000,bottom
"D1","D_Small","D_SOD-323",-88.541625,-28.333320,-90.000000,bottom
"D2","D_Small","D_SOD-323",-105.541617,-28.333320,-90.000000,bottom
"D3","D_Small","D_SOD-323",-122.541609,-28.333320,-90.000000,bottom
"D4","D_Small","D_SOD-323",-139.541601,-28.333320,-90.000000,bottom
"D5","D_Small","D_SOD-323",-156.541593,-28.333320,-90.000000,bottom
"D6","D_Small","D_SOD-323",-173.541585,-28.333320,-90.000000,bottom
"D7","D_Small","D_SOD-323",-190.541577,-28.333320,-90.000000,bottom
"D8","D_Small","D_SOD-323",-207.541569,-28.333320,-90.000000,bottom
"D9","D_Small","D_SOD-323",-224.541561,-28.333320,-90.000000,bottom
"D10","D_Small","D_SOD-323",-241.541553,-28.333320,-90.000000,bottom
"D11","D_Small","D_SOD-323",-88.541625,-45.333312,-90.000000,bottom
"D12","D_Small","D_SOD-323",-105.541617,-45.333312,-90.000000,bottom
"D13","D_Small","D_SOD-323",-122.541609,-45.333312,-90.000000,bottom
"D14","D_Small","D_SOD-323",-139.541601,-45.333312,-90.000000,bottom
"D15","D_Small","D_SOD-323",-156.541593,-45.333312,-90.000000,bottom
"D16","D_Small","D_SOD-323",-173.541585,-45.333312,-90.000000,bottom
"D17","D_Small","D_SOD-323",-190.541577,-45.333312,-90.000000,bottom
"D18","D_Small","D_SOD-323",-207.541569,-45.333312,-90.000000,bottom
"D19","D_Small","D_SOD-323",-224.541561,-45.333312,-90.000000,bottom
"D20","D_Small","D_SOD-323",-241.541553,-45.333312,-90.000000,bottom
"D21","D_Small","D_SOD-323",-88.541625,-62.333304,-90.000000,bottom
"D22","D_Small","D_SOD-323",-105.541617,-62.333304,-90.000000,bottom
"D23","D_Small","D_SOD-323",-122.541609,-62.333304,-90.000000,bottom
"D24","D_Small","D_SOD-323",-139.541601,-62.333304,-90.000000,bottom
"D25","D_Small","D_SOD-323",-156.541593,-62.333304,-90.000000,bottom
"D26","D_Small","D_SOD-323",-173.541585,-62.333304,-90.000000,bottom
"D27","D_Small","D_SOD-323",-190.541577,-62.333304,-90.000000,bottom
"D28","D_Small","D_SOD-323",-207.541569,-62.333304,-90.000000,bottom
"D29","D_Small","D_SOD-323",-224.541561,-62.333304,-90.000000,bottom
"D30","D_Small","D_SOD-323",-241.541553,-62.333304,-90.000000,bottom
"D31","D_Small","D_SOD-323",-88.541625,-79.333296,-90.000000,bottom
"D32","D_Small","D_SOD-323",-105.541617,-79.333296,-90.000000,bottom
"D33","D_Small","D_SOD-323",-122.541609,-79.333296,-90.000000,bottom
"D34","D_Small","D_SOD-323",-139.541601,-79.333296,-90.000000,bottom
"D35","D_Small","D_SOD-323",-156.541593,-79.333296,-90.000000,bottom
"D36","D_Small","D_SOD-323",-173.541585,-79.333296,-90.000000,bottom
"D37","D_Small","D_SOD-323",-190.541577,-79.333296,-90.000000,bottom
"D38","D_Small","D_SOD-323",-207.541569,-79.333296,-90.000000,bottom
"D39","D_Small","D_SOD-323",-224.541561,-79.333296,-90.000000,bottom
"D40","D_Small","D_SOD-323",-241.541553,-79.333296,-90.000000,bottom
"F1","500mA","Fuse_1206_3216Metric",-103.000000,-24.000000,-90.000000,bottom
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_XKB_U262-16XN-4BVC11",-111.208281,-16.999992,0.000000,bottom
"R1","10k","R_0402_1005Metric",-128.950000,-35.610000,-90.000000,bottom
"R2","5k1","R_0402_1005Metric",-107.750000,-22.990000,-90.000000,bottom
"R3","5k1","R_0402_1005Metric",-117.500000,-21.000000,0.000000,bottom
"R4","22","R_0402_1005Metric",-114.250000,-23.750000,-90.000000,bottom
"R5","22","R_0402_1005Metric",-113.000000,-23.750000,-90.000000,bottom
"R6","10k","R_0402_1005Metric",-104.250000,-35.000000,180.000000,bottom
"U1","ATmega32U4-M","QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm",-111.208281,-34.708317,-135.000000,bottom
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",-119.750000,-36.750000,90.000000,bottom
